ed_id,ed_name,county,population_2006,score_2016,decile_2016,population_2011,score_2011,decile_2011,population_2016,score_2016,decile_2016
E01001,Carlow Urban,Carlow,4605,3.426120191,10,4181,3.821932037,10,4560,4.01414014,10
E01002,Graigue Urban,Carlow,1524,3.182527037,10,1272,2.968886098,10,1405,2.995035408,10
E01003,Clonmore,Carlow,530,-0.435187469,6,560,-0.48309229,5,526,-0.511785014,5
E01004,Hacketstown,Carlow,1065,2.089203886,10,1091,2.407875546,10,1117,3.077261187,10
E01005,Haroldstown,Carlow,267,-1.266862123,2,259,-0.547735588,5,296,0.029723015,7
E01006,Kineagh,Carlow,309,-0.816759794,4,327,0.121585018,7,343,-0.255614135,6
E01007,Rahill,Carlow,585,-0.292380446,6,662,-0.272756832,6,729,0.333194788,8
E01008,Rathvilly,Carlow,802,2.61675765,10,838,2.481841791,10,875,2.228843505,10
E01009,Tiknock,Carlow,331,-0.325388431,6,338,0.378431311,8,332,0.39527096,8
E01010,Williamstown,Carlow,273,-0.292739759,6,297,-0.305990087,6,283,-0.754983996,4
E01011,Agha,Carlow,322,-1.115486699,3,382,-1.094141615,3,395,-1.009540419,3
E01012,Ballinacarrig,Carlow,937,-1.286101063,2,1005,-1.463279892,2,1025,-0.717824908,4
E01013,Ballintemple,Carlow,480,-1.049241891,3,559,-1.031152564,3,562,-0.810000895,4
E01014,Ballon,Carlow,646,-0.038422008,7,710,-0.08418958,7,717,0.231753517,7
E01015,Ballyellin,Carlow,375,-1.054666823,3,427,-0.794092792,4,425,-0.268242991,6
E01016,Ballymoon,Carlow,260,-1.152627167,3,329,-1.469495781,2,344,-1.220072586,2
E01017,Borris,Carlow,1008,0.892356765,9,1041,0.927367878,8,1051,1.301838825,9
E01018,Burton Hall,Carlow,368,-0.632448914,5,465,-1.267357755,2,525,-1.318699356,2
E01019,Carlow Rural,Carlow,12548,0.956350842,9,13947,1.234639989,9,14546,1.56014764,9
E01020,Clogrenan,Carlow,796,-0.351224501,6,996,0.117745809,7,1038,0.131895163,7
E01021,Clonegall,Carlow,905,0.243225297,7,978,0.229887973,7,1001,-0.212306934,6
E01022,Corries,Carlow,504,-0.385106634,6,532,-0.18247518,6,537,-0.395424149,6
E01023,Cranemore,Carlow,893,-0.438303253,6,1067,-0.255319525,6,1103,-0.080541065,7
E01024,Fennagh,Carlow,516,0.615110188,8,736,1.012766317,9,781,0.441142565,8
E01025,Garryhill,Carlow,578,-1.063739145,3,589,-0.469456175,5,580,-0.485423655,5
E01026,Grangeford,Carlow,324,-0.577079244,5,424,-0.766314054,4,465,-0.587634935,5
E01027,Johnstown,Carlow,532,-1.42859357,2,569,-1.089395006,3,589,-0.961564674,3
E01028,Kellistown,Carlow,1035,0.180102042,7,1001,-0.302529159,6,974,-0.304718558,6
E01029,Kilbride,Carlow,385,-1.196102869,2,449,-0.912625551,3,438,-0.818313507,4
E01030,Killedmond,Carlow,409,-0.334103164,6,424,-0.448653733,5,405,-0.535811605,5
E01031,Killerrig,Carlow,336,-1.74745918,1,359,-1.757974563,1,373,-1.779233897,1
E01032,Leighlinbridge,Carlow,1497,0.29738853,8,1558,0.04230609,7,1641,0.45883055,8
E01033,Muinebeag (Bagenalstown) Rural,Carlow,659,-1.598042262,1,646,-1.271641236,2,654,-1.055811193,3
E01034,Muinebeag (Bagenalstown) Urban,Carlow,2532,2.119559384,10,2775,2.738325394,10,2752,3.170661602,10
E01035,Myshall,Carlow,465,0.29903382,8,606,1.598811217,9,593,1.016977674,9
E01036,Nurney,Carlow,866,-0.244234105,6,867,-0.260435789,6,855,-0.210688815,6
E01037,Oldleighlin,Carlow,445,-0.487491822,5,569,0.310084243,7,576,-0.023890235,7
E01038,Rathanna,Carlow,126,-1.076374303,3,114,-1.281826094,2,122,-0.797676733,4
E01039,Rathornan,Carlow,365,-0.305778422,6,432,-0.291091562,6,445,-0.198541866,6
E01040,Rathrush,Carlow,983,-0.98119185,3,1101,-0.898954142,4,1110,-1.367109914,2
E01041,Ridge,Carlow,227,-0.706364847,5,273,-0.390245904,6,292,-0.155922444,6
E01042,Shangarry,Carlow,472,-0.705422696,5,525,-0.33925225,6,513,-1.143203845,3
E01043,Sliguff,Carlow,495,-0.054725164,7,527,-0.328735546,6,506,-0.155732101,6
E01044,Tankardstown,Carlow,434,-1.456839588,2,438,-1.430829747,2,437,-1.110451779,3
E01045,Templepeter,Carlow,409,-1.26593004,2,434,-1.121495539,3,419,-0.837462119,4
E01046,Tullowbeg,Carlow,473,0.681487759,8,582,1.225593424,9,622,1.638128956,9
E01047,Tullow Rural,Carlow,500,-1.252361367,2,702,-1.451425867,2,846,-1.220633243,2
E01048,Tullow Urban,Carlow,2881,2.623573485,10,3414,3.525371545,10,3978,3.609880211,10
E01049,Ballymurphy,Carlow,249,-1.063415894,3,279,-1.079300062,3,275,-0.811545749,4
E01050,Coonogue,Carlow,195,-0.539725208,5,206,-0.369735119,6,208,0.057111256,7
E01051,Glynn,Carlow,347,-0.579245389,5,365,0.028502253,7,379,-0.847306635,4
E01052,Kyle,Carlow,295,-0.517514302,5,341,-0.534971932,5,320,-1.002946962,3
E01053,Marley,Carlow,309,-0.65601442,5,367,0.173003153,7,401,-0.744609611,4
E01054,Tinnahinch,Carlow,677,0.685007677,8,677,0.303032824,7,648,0.514541515,8
E02001,Arran Quay A,Dublin City,1502,2.558257281,10,1555,2.625686655,10,1785,2.774993057,10
E02002,Arran Quay B,Dublin City,3692,3.968210775,10,3861,3.244647642,10,4166,3.526214533,10
E02003,Arran Quay C,Dublin City,3714,4.456271462,10,4170,3.2600732,10,4471,3.343955778,10
E02004,Arran Quay D,Dublin City,3600,6.271763637,10,3218,4.650272072,10,3109,2.781991653,10
E02005,Arran Quay E,Dublin City,2889,2.917955998,10,3037,2.899417702,10,3293,2.401578494,10
E02006,Ashtown A,Dublin City,7715,-0.929965821,4,10227,-0.870938614,4,10566,-0.77098292,4
E02007,Ashtown B,Dublin City,2537,-0.526245345,5,2560,-0.905246958,3,2643,-1.080443245,3
E02008,Ayrfield,Dublin City,5344,-0.183300561,6,5395,-0.361542789,6,5639,0.115252219,7
E02009,Ballybough A,Dublin City,3624,7.693023107,10,3482,6.868685707,10,3718,6.782103754,10
E02010,Ballybough B,Dublin City,3215,4.701926434,10,3349,4.341311736,10,3698,4.125134535,10
E02011,Ballygall A,Dublin City,3342,2.454211115,10,3442,2.048596167,10,3606,2.496489303,10
E02012,Ballygall B,Dublin City,1809,1.336601336,9,1805,0.946797318,8,1887,0.5931597,8
E02013,Ballygall C,Dublin City,3575,-0.578450418,5,3419,-1.124286579,3,3521,-1.135012126,3
E02014,Ballygall D,Dublin City,2488,1.271360267,9,2494,0.696169694,8,2531,0.664126732,8
E02015,Ballymun A,Dublin City,2101,7.524019959,10,3678,4.267256561,10,4765,4.12385363,10
E02016,Ballymun B,Dublin City,3949,9.531576181,10,4012,9.168806484,10,4379,8.76311605,10
E02017,Ballymun C,Dublin City,5921,7.930104363,10,5585,6.295148473,10,6112,6.848140824,10
E02018,Ballymun D,Dublin City,3522,10.98606125,10,2961,9.796206016,10,2458,9.07387801,10
E02019,Ballymun E,Dublin City,1550,-1.548180113,1,1582,-2.05354463,1,1562,-1.793680819,1
E02020,Ballymun F,Dublin City,2474,-0.80767469,4,2323,-1.162189101,3,2350,-1.176810139,2
E02021,Beaumont A,Dublin City,2617,-0.650983786,5,2467,-1.142796264,3,2463,-0.943485061,3
E02022,Beaumont B,Dublin City,5062,-0.115341583,7,4805,-0.704616699,4,4962,-0.839273037,4
E02023,Beaumont C,Dublin City,3044,-0.106204888,7,3106,-0.456011684,5,3242,-0.383621174,6
E02024,Beaumont D,Dublin City,2375,-1.311947846,2,2149,-1.466453603,2,2135,-1.377986604,2
E02025,Beaumont E,Dublin City,2099,-0.901025062,4,2001,-1.017591682,3,2051,-1.345162469,2
E02026,Beaumont F,Dublin City,3597,-0.691285175,5,3437,-1.128391473,3,3590,-0.919826131,4
E02027,Botanic A,Dublin City,3091,-1.007066265,3,3084,-1.287843448,2,3174,-1.014444649,3
E02028,Botanic B,Dublin City,3214,-0.081828778,7,3264,-0.963983024,3,3481,-0.644688248,5
E02029,Botanic C,Dublin City,2098,0.72560523,8,1967,0.266839236,7,2222,-0.145571546,6
E02030,Cabra East A,Dublin City,5366,1.730584145,9,5163,1.390180346,9,5650,0.794693272,8
E02031,Cabra East B,Dublin City,3542,2.352560148,10,3512,2.359593025,10,3737,2.240175495,10
E02032,Cabra East C,Dublin City,3352,3.536309785,10,3631,3.415648515,10,4085,2.846364503,10
E02033,Cabra West A,Dublin City,1564,2.728524862,10,1478,3.11440297,10,1478,2.82062005,10
E02034,Cabra West B,Dublin City,2644,4.386915816,10,2513,4.447439889,10,2577,4.025651011,10
E02035,Cabra West C,Dublin City,2865,2.98661742,10,2699,2.648416882,10,2953,2.876525546,10
E02036,Cabra West D,Dublin City,2815,2.390259618,10,2725,1.675236852,9,2845,2.028791846,9
E02037,Clontarf East A,Dublin City,3237,-0.313323207,6,3301,-1.169595351,3,3438,-0.972906806,3
E02038,Clontarf East B,Dublin City,6637,-1.359976073,2,6759,-2.071759867,1,7107,-1.797356758,1
E02039,Clontarf East C,Dublin City,2993,-1.749323559,1,3113,-2.594296769,1,3183,-1.9287559,1
E02040,Clontarf East D,Dublin City,2720,-1.128709906,3,2673,-1.889897771,1,2766,-1.814361969,1
E02041,Clontarf East E,Dublin City,1634,-1.613199199,1,1675,-2.008494597,1,1791,-2.059426274,1
E02042,Clontarf West A,Dublin City,3446,-0.45225963,5,3436,-1.096143592,3,3658,-0.827688302,4
E02043,Clontarf West B,Dublin City,2398,2.928033761,10,2316,2.56661536,10,2411,2.151702676,10
E02044,Clontarf West C,Dublin City,3503,-0.38936709,6,3366,-1.47522948,2,3659,-1.362028616,2
E02045,Clontarf West D,Dublin City,2087,1.295261702,9,2066,0.349860062,8,2297,0.23646868,7
E02046,Clontarf West E,Dublin City,2336,-0.175409897,6,2324,-0.974249448,3,2468,-1.226590669,2
E02047,Drumcondra South A,Dublin City,3945,0.048995537,7,4571,-0.65715806,5,5064,-0.660766198,5
E02048,Drumcondra South B,Dublin City,1369,1.7653441,9,1526,0.619077984,8,1697,0.862533179,8
E02049,Drumcondra South C,Dublin City,3323,-0.540082729,5,3191,-1.267476079,2,3517,-1.1906151,2
E02050,Edenmore,Dublin City,2758,2.667420896,10,2725,2.459877344,10,2836,2.072370919,9
E02051,Finglas North A,Dublin City,3472,5.51789628,10,3227,5.404720493,10,3319,5.816251906,10
E02052,Finglas North B,Dublin City,2955,4.298846046,10,2809,4.374700454,10,2874,4.448897154,10
E02053,Finglas North C,Dublin City,3057,0.408614165,8,3247,0.64281308,8,3464,0.597256761,8
E02054,Finglas South A,Dublin City,2634,4.29632902,10,2783,4.457866993,10,2904,4.355549466,10
E02055,Finglas South B,Dublin City,3322,4.03639052,10,3868,3.874107419,10,4206,3.918412327,10
E02056,Finglas South C,Dublin City,2600,5.770520013,10,2507,6.209502916,10,2645,6.328755556,10
E02057,Finglas South D,Dublin City,2186,3.9023817,10,2311,3.925946882,10,2427,3.853288026,10
E02058,Grace Park,Dublin City,5927,-0.360371862,6,5670,-0.908491018,3,5806,-0.92044973,4
E02059,Grange A,Dublin City,7050,-0.659299191,5,8948,-0.352222312,6,9696,-0.544381835,5
E02060,Grange B,Dublin City,2870,0.143930492,7,4565,0.737021875,8,5326,0.486668379,8
E02061,Grange C,Dublin City,3305,1.284483479,9,3048,1.017332202,9,3082,0.968416356,9
E02062,Grange D,Dublin City,4214,0.594125374,8,4105,0.383827547,8,4005,0.394511406,8
